clock_id,name,year,species,data_type,generation,tissue,tissue_class,population,population_class,training_target,target_class,translage_trained_phenotype,predicts,platform,n_features,unit,scale_type,legal_operations,model_type,availability,ships_coefficients,profile_key,n_same_profile,peers_same_profile,n_same_tissue_class,n_same_target_class,feature_overlap_partner,feature_overlap_jaccard,feature_overlap_shared,feature_overlap_note,external_catalogues,external_catalogue_urls,training_cohort_note,verify_url,verify_url_kind,verify_url_status,coefficient_source_url,citation
deconvolutebloodepicbcell,deconvolutebloodepicbcell,2018,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type-specific methylation contrast,cell_composition,,B cell proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1186/s13059-018-1448-7,doi,200 ok,,"Salas, L.A., Koestler, D.C., Butler, R.A. et al. An optimized library for reference-based deconvolution of whole-blood biospecimens assayed using the Illumina HumanMethylationEPIC BeadArray. Genome Biology 19, 64 (2018)."
deconvolutebloodepiccd4tcell,deconvolutebloodepiccd4tcell,2018,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type-specific methylation contrast,cell_composition,,CD4+ T cell proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1186/s13059-018-1448-7,doi,200 ok,,"Salas, L.A., Koestler, D.C., Butler, R.A. et al. An optimized library for reference-based deconvolution of whole-blood biospecimens assayed using the Illumina HumanMethylationEPIC BeadArray. Genome Biology 19, 64 (2018)."
deconvolutebloodepiccd8tcell,deconvolutebloodepiccd8tcell,2018,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type-specific methylation contrast,cell_composition,,CD8+ T cell proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd4tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1186/s13059-018-1448-7,doi,200 ok,,"Salas, L.A., Koestler, D.C., Butler, R.A. et al. An optimized library for reference-based deconvolution of whole-blood biospecimens assayed using the Illumina HumanMethylationEPIC BeadArray. Genome Biology 19, 64 (2018)."
deconvolutebloodepicmonocyte,deconvolutebloodepicmonocyte,2018,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type-specific methylation contrast,cell_composition,,monocyte proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1186/s13059-018-1448-7,doi,200 ok,,"Salas, L.A., Koestler, D.C., Butler, R.A. et al. An optimized library for reference-based deconvolution of whole-blood biospecimens assayed using the Illumina HumanMethylationEPIC BeadArray. Genome Biology 19, 64 (2018)."
deconvolutebloodepicneutrophil,deconvolutebloodepicneutrophil,2018,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type-specific methylation contrast,cell_composition,,neutrophil proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1186/s13059-018-1448-7,doi,200 ok,,"Salas, L.A., Koestler, D.C., Butler, R.A. et al. An optimized library for reference-based deconvolution of whole-blood biospecimens assayed using the Illumina HumanMethylationEPIC BeadArray. Genome Biology 19, 64 (2018)."
deconvolutebloodepicnkcell,deconvolutebloodepicnkcell,2018,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type-specific methylation contrast,cell_composition,,natural killer cell proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1186/s13059-018-1448-7,doi,200 ok,,"Salas, L.A., Koestler, D.C., Butler, R.A. et al. An optimized library for reference-based deconvolution of whole-blood biospecimens assayed using the Illumina HumanMethylationEPIC BeadArray. Genome Biology 19, 64 (2018)."
twelvecelldeconvolutebloodepicbas,twelvecelldeconvolutebloodepicbas,2022,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type proportions,cell_composition,,basophil proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1038/s41467-021-27864-7,doi,200 ok,,"Salas, L.A., Zhang, Z., Koestler, D.C. et al. Enhanced cell deconvolution of peripheral blood using DNA methylation for high-resolution immune profiling. Nature Communications 13, 761 (2022)."
twelvecelldeconvolutebloodepicbmem,twelvecelldeconvolutebloodepicbmem,2022,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type proportions,cell_composition,,memory B cell proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1038/s41467-021-27864-7,doi,200 ok,,"Salas, L.A., Zhang, Z., Koestler, D.C. et al. Enhanced cell deconvolution of peripheral blood using DNA methylation for high-resolution immune profiling. Nature Communications 13, 761 (2022)."
twelvecelldeconvolutebloodepicbnv,twelvecelldeconvolutebloodepicbnv,2022,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type proportions,cell_composition,,naive B cell proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepiccd4mem; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1038/s41467-021-27864-7,doi,200 ok,,"Salas, L.A., Zhang, Z., Koestler, D.C. et al. Enhanced cell deconvolution of peripheral blood using DNA methylation for high-resolution immune profiling. Nature Communications 13, 761 (2022)."
twelvecelldeconvolutebloodepiccd4mem,twelvecelldeconvolutebloodepiccd4mem,2022,Homo sapiens,dna_methylation,other,purified blood leukocytes,blood_derived,adults,adults,cell-type proportions,cell_composition,,memory CD4+ T cell proportion,EPICv1,,proportion,proportion,compositional; correlate; difference; mean,reference-based constrained deconvolution,untraced,no,Homo sapiens|blood_derived|adults|cell_composition,18,deconvolutebloodepicbcell; deconvolutebloodepiccd4tcell; deconvolutebloodepiccd8tcell; deconvolutebloodepicmonocyte; deconvolutebloodepicneutrophil; deconvolutebloodepicnkcell; twelvecelldeconvolutebloodepicbas; twelvecelldeconvolutebloodepicbmem; twelvecelldeconvolutebloodepicbnv; twelvecelldeconvolutebloodepiccd4nv; twelvecelldeconvolutebloodepiccd8mem; twelvecelldeconvolutebloodepiccd8nv; twelvecelldeconvolutebloodepiceos; twelvecelldeconvolutebloodepicmono; twelvecelldeconvolutebloodepicneu; twelvecelldeconvolutebloodepicnk; twelvecelldeconvolutebloodepictreg,33,18,,,,features not distributed for this clock,,,,https://doi.org/10.1038/s41467-021-27864-7,doi,200 ok,,"Salas, L.A., Zhang, Z., Koestler, D.C. et al. Enhanced cell deconvolution of peripheral blood using DNA methylation for high-resolution immune profiling. Nature Communications 13, 761 (2022)."
