"Clock Name","Friendly Name","Trained Phenotype","# of CpGs","Array Type Trained"
"AdaptAge","AdaptAge","Chronological Age",1000,"450K"
"CausAge","CausAge","Chronological Age",586,"450K"
"DamAge","DamAge","Chronological Age",1090,"450K"
"Hannum","Hannum","Chronological Age",71,"450K"
"Horvath1","Horvath1","Chronological Age",353,"450K and 27K"
"Horvath2","Horvath2","Chronological Age",391,"450K and EPICv1"
"PCHorvath1","PCHorvath1","Chronological Age",78464,"450K"
"PCHorvath2","PCHorvath2","Chronological Age",78464,"450K"
"PCHannum","PCHannum","Chronological Age",78464,"450K"
"DNAmlogA1C","DNAmlogA1C","Clinical Biomarker",86,"450K"
"DNAmlogCRP","DNAmlogCRP","Clinical Biomarker",132,"450K"
"PCPACKYRS","PCPACKYRS","Clinical Phenotype",78464,"450K"
"DNAmPACKYRS","DNAmPACKYRS","Clinical Phenotype",172,"450K"
"GrimAgeV1","GrimAgeV1","Mortality",1030,"450K"
"GrimAgeV2","GrimAgeV2","Mortality",1030,"450K"
"PCGrimAge","PCGrimAge","Mortality",78464,"450K"
"SystemsAge","SystemsAge","Mortality",125175,"450K"
"Blood","Blood","Mortality",125175,"450K"
"Brain","Brain","Mortality",125175,"450K"
"Inflammation","Inflammation","Mortality",125175,"450K"
"Heart","Heart","Mortality",125175,"450K"
"Hormone","Hormone","Mortality",125175,"450K"
"Immune","Immune","Mortality",125175,"450K"
"Kidney","Kidney","Mortality",125175,"450K"
"Liver","Liver","Mortality",125175,"450K"
"Metabolic","Metabolic","Mortality",125175,"450K"
"Lung","Lung","Mortality",125175,"450K"
"MusculoSkeletal","MusculoSkeletal","Mortality",125175,"450K"
"Age_prediction","Age Prediction","Chronological Age",125175,"450K"
"PhenoAge","PhenoAge","Mortality",513,"450K"
"PCPhenoAge","PCPhenoAge","Mortality",78464,"450K"
"DunedinPoAm38","DunedinPoAm38","Pace of Aging",47,"450K and EPICv1"
"DunedinPACE","DunedinPACE","Pace of Aging",173,"450K and EPICv1"
"PCADM","PCADM","Protein",78464,"450K"
"PCB2M","PCB2M","Protein",78464,"450K"
"PCCystatinC","PCCystatinC","Protein",78464,"450K"
"PCGDF15","PCGDF15","Protein",78464,"450K"
"PCLeptin","PCLeptin","Protein",78464,"450K"
"PCPAI1","PCPAI1","Protein",78464,"450K"
"PCTIMP1","PCTIMP1","Protein",78464,"450K"
"DNAmADM","DNAmADM","Protein",186,"450K"
"DNAmB2M","DNAmB2M","Protein",91,"450K"
"DNAmCystatinC","DNAmCystatinC","Protein",87,"450K"
"DNAmGDF15","DNAmGDF15","Protein",137,"450K"
"DNAmPAI1","DNAmPAI1","Protein",211,"450K"
"DNAmLeptin","DNAmLeptin","Protein",187,"450K"
"DNAmTIMP1","DNAmTIMP1","Protein",42,"450K"
"StocZ","StocZ","Chronological Age",514,"450K and EPICv1"
"StocH","StocH","Chronological Age",353,"450K and EPICv1"
"StocP","StocP","Mortality",513,"450K and EPICv1"
"BUN_MRS_predicted","BUN","Clinical Biomarker",1988,"EPICv1"
"Creatinine_MRS_predicted","Creatinine","Clinical Biomarker",2170,"EPICv1"
"Glucose_MRS_predicted","Glucose v1","Clinical Biomarker",1312,"EPICv1"
"HbA1c_MRS_predicted","HbA1c","Clinical Biomarker",360,"EPICv1"
"Hematocrit_MRS_predicted","Hematocrit","Clinical Biomarker",794,"EPICv1"
"Hemoglobin_MRS_predicted","Hemoglobin","Clinical Biomarker",838,"EPICv1"
"Liver_ALB_MRS_predicted","Liver Albumin","Clinical Biomarker",1027,"EPICv1"
"Liver_ALP_MRS_predicted","Liver ALP","Clinical Biomarker",96,"EPICv1"
"Red_Cell_Dist_Width_MRS_predicted","RDW","Clinical Biomarker",1120,"EPICv1"
"Triglyceride_MRS_predicted","Triglyceride","Clinical Biomarker",85,"EPICv1"
"100000406_MRS_predicted","Ribitol","Metabolite",21,"EPICv1"
"100001073_MRS_predicted","Androsterone Sulfate","Metabolite",737,"EPICv1"
"100001417_MRS_predicted","Phenylacetylglutamine","Metabolite",669,"EPICv1"
"100002171_MRS_predicted","LPC","Metabolite",20,"EPICv1"
"100006129_MRS_predicted","Vanillactate","Metabolite",390,"EPICv1"
"100006262_MRS_predicted","4-MPS","Metabolite",99,"EPICv1"
"100009146_MRS_predicted","ePC","Metabolite",706,"EPICv1"
"100010850_MRS_predicted","4-HPAGA","Metabolite",1366,"EPICv1"
"100015966_MRS_predicted","Lutein","Metabolite",1026,"EPICv1"
"100020487_MRS_predicted","N-acetyl-isoputreanine","Metabolite",877,"EPICv1"
"1053_MRS_predicted","Ureidopropionic acid","Metabolite",594,"EPICv1"
"279_MRS_predicted","Cystine","Metabolite",291,"EPICv1"
"338_MRS_predicted","Gluconate","Metabolite",1296,"EPICv1"
"535_MRS_predicted","Uridine","Metabolite",142,"EPICv1"
"DNAmEMRAge","DNAmEMRAge","Mortality",1097,"EPICv1"
"OMICmAge","OMICmAge","Mortality",990,"EPICv1"
"1263_MRS_predicted","HSP90","Protein",433,"EPICv1"
"13804_MRS_predicted","CPB2","Protein",647,"EPICv1"
"17429_MRS_predicted","MXRA5","Protein",538,"EPICv1"
"1883_MRS_predicted","H2B1C","Protein",835,"EPICv1"
"19017_MRS_predicted","Mimecan","Protein",260,"EPICv1"
"20713_MRS_predicted","IGFBP-2","Protein",999,"EPICv1"
"26785_MRS_predicted","RNAS1","Protein",493,"EPICv1"
"28068_MRS_predicted","CRDL1","Protein",646,"EPICv1"
"2816_MRS_predicted","Albumin","Protein",343,"EPICv1"
"32417_MRS_predicted","PON1","Protein",458,"EPICv1"
"33561_MRS_predicted","CSPG2","Protein",1131,"EPICv1"
"4289_MRS_predicted","ITIH3","Protein",698,"EPICv1"
"5409_MRS_predicted","CBPB2","Protein",380,"EPICv1"
"7427_MRS_predicted","IBP2","Protein",599,"EPICv1"
"8121_MRS_predicted","Paraoxonase","Protein",1018,"EPICv1"
"989_MRS_predicted","BMP1","Protein",657,"EPICv1"
"DNAmIC","DNAmIC","Intrinsic Capacity",91,"EPICv1"
"eFRS","eFRS","Frailty",20,"EPICv1"
"CD4Tnv","CD4+ Naive T Cells","Cellular Proportions",600,"EPICv1"
"Baso","Basophils","Cellular Proportions",600,"EPICv1"
"CD4Tmem","CD4+ Memory T Cells","Cellular Proportions",600,"EPICv1"
"Bmem","Memory B Cells","Cellular Proportions",600,"EPICv1"
"Bnv","Naive B Cells","Cellular Proportions",600,"EPICv1"
"Treg","Regulatory T Cells","Cellular Proportions",600,"EPICv1"
"CD8Tmem","CD8+ Memory T Cells","Cellular Proportions",600,"EPICv1"
"CD8Tnv","CD8+ Naive T Cells","Cellular Proportions",600,"EPICv1"
"Eos","Eosinophils","Cellular Proportions",600,"EPICv1"
"NK","Natural Killer Cells","Cellular Proportions",600,"EPICv1"
"Neu","Neutrophils","Cellular Proportions",600,"EPICv1"
"Mono","Monocytes","Cellular Proportions",600,"EPICv1"
"IntrinClock","IntrinClock","Chronological Age",381,"450K and EPICv1"
"RetroClock","RetroAgeEPICv2","Chronological Age",1378,"EPICv1"
"FIAge","FiAge","Frailty",53,"EPICv1"
"EBP_clinical_Monocytecount","Monocyte_count","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Thyroid_stimulatinghormone_LogValue","Thyroid_stimulatinghormone_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Totalbilirubin_LogValue","Totalbilirubin_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_AlaninetransaminaseALT_LogValue","AlaninetransaminaseALT_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Albumin_LogValue","Albumin_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_AlkalinephosphataseALP_LogValue","Alkalinephosphatase_ALP_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_AnionGap","AnionGap","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_AspartateaminotransferaseAST_LogValue","AspartateaminotransferaseAST_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Basophilcount_LogValue","Basophilcount_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Bicarbonate","Bicarbonate","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_BloodUreaNitrogen_LogValue","BloodUreaNitrogen_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_BMI_LogValue","BMI_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_C_reactiveprotein_LogValue","C_reactiveprotein_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Calcium","Calcium","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Chloride","Chloride","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Creatinine_LogValue","Creatinine_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Eosinophilcount_LogValue","Eosinophilcount_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_est.Glomerularfiltrationrate","est.Glomerularfiltrationrate","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Globulin","Globulin","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Glucose_LogValue","Glucose_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_HbA1c_LogValue","HbA1c_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_HDL_LogValue","HDL_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Hematocrit","Hematocrit","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Hemoglobin_LogValue","Hemoglobin_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_LDL_LogValue","LDL_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Lymphocytecount_LogValue","Lymphocytecount_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Magnesium","Magnesium","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Meancorpuscularhemoglobin","Meancorpuscularhemoglobin","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Meancorpuscularhemoglobinconcentration","Meancorpuscularhemoglobinconcentration","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Meancorpuscularvolume","Meancorpuscularvolume","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Meanplateletvolume","Meanplateletvolume","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Neutrophilcount_LogValue","Neutrophil_count_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Platelet","Platelet","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Potassium","Potassium","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Redbloodcellcount","Redbloodcellcount","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Redcelldistributionwidth_LogValue","Redcelldistributionwidth_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_SystolicBloodPressure","SystolicBloodPressure","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Totalcholesterol","Totalcholesterol","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Totalprotein","Totalprotein","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Triglyceride_LogValue","Triglyceride_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_VitD_25_OH_LogValue","VitD_25_OH_LogValue","Clinical Biomarker",NA,"EPICv1"
"EBP_clinical_Whitebloodcellcount","Whitebloodcellcount","Clinical Biomarker",NA,"EPICv1"
"EBP_met_100000011","phenylacetate","Metabolite",NA,"EPICv1"
"EBP_met_100000014","hippurate","Metabolite",NA,"EPICv1"
"EBP_met_100000039","methionine sulfoxide","Metabolite",NA,"EPICv1"
"EBP_met_100000096","4-guanidinobutanoate","Metabolite",NA,"EPICv1"
"EBP_met_100000257","glucuronate","Metabolite",NA,"EPICv1"
"EBP_met_100000265","kynurenine","Metabolite",NA,"EPICv1"
"EBP_met_100000282","N-acetylglutamate","Metabolite",NA,"EPICv1"
"EBP_met_100000442","quinate","Metabolite",NA,"EPICv1"
"EBP_met_100000447","gentisate","Metabolite",NA,"EPICv1"
"EBP_met_100000467","3-indoxyl sulfate","Metabolite",NA,"EPICv1"
"EBP_met_100000491","gamma-glutamylphenylalanine","Metabolite",NA,"EPICv1"
"EBP_met_100000626","sphingosine 1-phosphate","Metabolite",NA,"EPICv1"
"EBP_met_100000665","docosahexaenoate (DHA; 22:6n3)","Metabolite",NA,"EPICv1"
"EBP_met_100000707","maleate","Metabolite",NA,"EPICv1"
"EBP_met_100000776","palmitoylcarnitine (C16)","Metabolite",NA,"EPICv1"
"EBP_met_100000792","dehydroepiandrosterone sulfate (DHEA-S)","Metabolite",NA,"EPICv1"
"EBP_met_100000802","acetylcarnitine (C2)","Metabolite",NA,"EPICv1"
"EBP_met_100000846","erythritol","Metabolite",NA,"EPICv1"
"EBP_met_100000963","homocitrulline","Metabolite",NA,"EPICv1"
"EBP_met_100000998","citramalate","Metabolite",NA,"EPICv1"
"EBP_met_100001006","N-acetylglycine","Metabolite",NA,"EPICv1"
"EBP_met_100001007","ribonate","Metabolite",NA,"EPICv1"
"EBP_met_100001022","threonate","Metabolite",NA,"EPICv1"
"EBP_met_100001026","galactonate","Metabolite",NA,"EPICv1"
"EBP_met_100001055","isobutyrylcarnitine (C4)","Metabolite",NA,"EPICv1"
"EBP_met_100001064","glycolithocholate","Metabolite",NA,"EPICv1"
"EBP_met_100001092","trigonelline (N'-methylnicotinate)","Metabolite",NA,"EPICv1"
"EBP_met_100001104","N-acetyltyrosine","Metabolite",NA,"EPICv1"
"EBP_met_100001145","3-hydroxysebacate","Metabolite",NA,"EPICv1"
"EBP_met_100001148","5-hydroxyhexanoate","Metabolite",NA,"EPICv1"
"EBP_met_100001178","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","Metabolite",NA,"EPICv1"
"EBP_met_100001181","docosapentaenoate (n3 DPA; 22:5n3)","Metabolite",NA,"EPICv1"
"EBP_met_100001208","1-methyl-4-imidazoleacetate","Metabolite",NA,"EPICv1"
"EBP_met_100001251","decanoylcarnitine (C10)","Metabolite",NA,"EPICv1"
"EBP_met_100001257","N-acetylasparagine","Metabolite",NA,"EPICv1"
"EBP_met_100001266","N-acetylarginine","Metabolite",NA,"EPICv1"
"EBP_met_100001267","piperine","Metabolite",NA,"EPICv1"
"EBP_met_100001270","myristoylcarnitine (C14)","Metabolite",NA,"EPICv1"
"EBP_met_100001272","1-oleoyl-GPC (18:1)","Metabolite",NA,"EPICv1"
