feature_id,coefficient
cg17140673,2.34049972246798
cg16000331,1.77340352742864
cg26832552,1.42305618673534
cg01185855,1.20823200779764
cg09984392,1.07889040387424
cg02823783,0.92029111866623
cg05922723,0.675312944367683
cg03281139,0.570111137331277
cg25158622,0.508475962861001
cg13899478,0.451094161885685
cg03639897,0.450156987598717
cg04816311,0.44724031480343
cg22813794,0.442218097012904
cg08912317,0.404048766217133
cg08864105,0.397432759171086
cg01959050,0.39364107825708
cg00908766,0.380549813812072
cg16533147,0.380221496379823
cg23594461,0.371558636925659
cg01242196,0.354332158710496
cg01041239,0.328642909866305
cg18997433,0.324376763838842
cg01634275,0.324343201625732
cg07015911,0.312922726479921
cg00917847,0.310669707384565
cg03546163,0.298456150227986
cg09397900,0.297876313349199
cg26500914,0.294986600079674
cg19631443,0.294828477751224
cg14262937,0.286639537033968
cg03443112,0.271069730491886
cg02250764,0.268242938742422
cg24033491,0.264328390299762
cg18998321,0.258316335916257
cg19201009,0.250351833013674
cg09503194,0.238846288640785
cg04228827,0.229821509065862
cg10168894,0.227075230599355
cg04259358,0.207695714313507
cg23815491,0.205606852639227
cg07839457,0.205406837341843
cg08365388,0.202460776195578
cg11739633,0.198934002772907
cg26221992,0.193494343988852
cg09975683,0.180371507287842
cg06017559,0.180303101074524
cg15661251,0.167382803900239
cg19197744,0.165621026712157
cg10427040,0.164502897015434
cg10249997,0.163037268084025
cg13435263,0.160382047022329
cg06942649,0.152605272358615
cg00326464,0.1523300230203
cg20983032,0.152030215970487
cg13817395,0.146504231910673
cg25484139,0.143251622045808
cg07671805,0.138740188312224
cg05137443,0.138643569357135
cg06989610,0.137942555030212
cg23719713,0.137520888762662
cg09442489,0.126656282040985
cg03309252,0.125377413497
cg26631505,0.123412265857112
cg11063328,0.108388953477608
cg01739960,0.10703203883238
cg05780543,0.097453574080941
cg00632560,0.095749310147798
cg25631249,0.093971068745583
cg07871442,0.092004606774518
cg03826642,0.089054161459659
cg18329931,0.088008490713511
cg21560142,0.086558165664933
cg07676517,0.081650534713549
cg16875057,0.079675096587385
cg22062555,0.07707513703568
cg00089528,0.074631040915602
cg07298547,0.073787325878663
cg01511534,0.063989951699755
cg01331772,0.060325126213539
cg18078387,0.059836702027785
cg05512200,0.056955434417944
cg26033520,0.050935245728856
cg03663120,0.050238429948406
cg23951171,0.049995209269057
cg12643293,0.047726283202933
cg23301925,0.046658942012543
cg15727287,0.046197616728848
cg25765464,0.045867842358871
cg27266060,0.045310267461107
cg23231462,0.045054129437159
cg19922871,0.044054974148039
cg13915212,0.043991147629526
cg04008888,0.042039593528865
cg16871994,0.041519832836515
cg12011876,0.037483290910637
cg00903584,0.037242927388507
cg06118351,0.037212739625557
cg22881941,0.035445648772418
