feature_id,coefficient
cg20327258,1.0
cg23062112,1.0
cg07365816,1.0
cg08659394,1.0
cg14575559,1.0
cg13294856,1.0
cg18560328,1.0
cg21229268,1.0
cg20078466,1.0
cg23091824,1.0
cg03865257,1.0
cg16443455,1.0
cg11250773,1.0
cg10687823,1.0
cg12892303,1.0
cg12781700,1.0
cg13583934,1.0
cg12065366,1.0
cg25203031,1.0
cg17404915,1.0
cg22299454,1.0
cg10698404,1.0
cg09097345,1.0
cg05404701,1.0
cg24010885,1.0
cg17712694,1.0
cg20707222,1.0
cg08901752,1.0
cg11297107,1.0
cg17876581,1.0
cg02450646,1.0
cg12799781,1.0
cg01718742,1.0
cg10263370,1.0
cg15774465,1.0
cg16491617,1.0
cg11832210,1.0
cg23156475,1.0
cg07686635,1.0
cg16944092,1.0
cg08285388,1.0
cg26510017,1.0
cg15745900,1.0
cg15402399,1.0
cg00039793,1.0
cg06963053,1.0
cg05009934,1.0
cg14213543,1.0
cg10094616,1.0
cg06010588,1.0
cg23847712,1.0
cg17370163,1.0
cg13428480,1.0
cg22620221,1.0
cg22319311,1.0
cg16437728,1.0
cg12632753,1.0
cg25984671,1.0
cg07882671,1.0
cg04342955,1.0
cg15759616,1.0
cg07624639,1.0
cg14482313,1.0
cg14537533,1.0
cg10755973,1.0
cg23986470,1.0
cg10527010,1.0
cg02119363,1.0
cg12318400,1.0
cg26417642,1.0
cg10496082,1.0
cg07688490,1.0
cg09608387,1.0
cg02044219,1.0
cg24205332,1.0
cg24456663,1.0
cg12805420,1.0
cg22604123,1.0
cg14866200,1.0
cg13786089,1.0
cg03414321,1.0
cg08054078,1.0
cg26296488,1.0
cg20905516,1.0
cg04633600,1.0
cg05471845,1.0
cg11354576,1.0
cg10182317,1.0
cg02215115,1.0
cg08712932,1.0
cg16801535,1.0
cg00486627,1.0
cg22376706,1.0
cg11342468,1.0
cg18040241,1.0
cg16150752,1.0
cg24213507,1.0
cg25143824,1.0
cg04155632,1.0
cg11345323,1.0
cg06911020,1.0
cg17935677,1.0
cg03817667,1.0
cg04474990,1.0
cg07690733,1.0
cg21269806,1.0
cg09431182,1.0
cg03145999,1.0
cg14558114,1.0
cg10505324,1.0
cg18629270,1.0
cg22714094,1.0
cg09022422,1.0
cg02330121,1.0
cg02196294,1.0
cg20748194,1.0
cg02501827,1.0
cg15389490,1.0
cg12075445,1.0
cg14630839,1.0
cg24092470,1.0
cg07167098,1.0
cg03045425,1.0
cg17991436,1.0
cg13542461,1.0
cg16142707,1.0
cg17683390,1.0
cg16913508,1.0
cg15180867,1.0
cg18102575,1.0
cg09919787,1.0
cg21923442,1.0
cg13845982,1.0
cg01666600,1.0
cg19657723,1.0
cg00804628,1.0
cg16005989,1.0
cg16071118,1.0
cg08781253,1.0
cg01050423,1.0
cg18349138,1.0
cg26682094,1.0
cg05248618,1.0
cg07721203,1.0
cg23973626,1.0
cg07599133,1.0
cg16030427,1.0
cg13171890,1.0
cg20712058,1.0
cg27550982,1.0
cg02199397,1.0
cg26970841,1.0
cg06375580,1.0
cg00415263,1.0
cg05758434,1.0
cg01715455,1.0
cg00865356,1.0
cg19657201,1.0
cg04996158,1.0
cg26896155,1.0
cg17306261,1.0
cg05684406,1.0
cg18920423,1.0
cg09683824,1.0
cg26084529,1.0
cg13327078,1.0
cg19357499,1.0
cg10053355,1.0
cg12518442,1.0
cg24158452,1.0
cg26844246,1.0
cg05804220,1.0
cg08919494,1.0
cg01859739,1.0
cg12882697,1.0
cg22534145,1.0
cg14817655,1.0
cg13405783,1.0
