feature_id,coefficient,ground_state
cg23062112,10526.315789473683,0.05
cg18560328,10204.081632653062,0.02
cg21229268,10309.278350515464,0.03
cg11250773,4000.0,0.0
cg12892303,10416.666666666666,0.04
cg12781700,10416.666666666666,0.04
cg12065366,10526.315789473683,0.05
cg17712694,10526.315789473683,0.05
cg12799781,20618.556701030928,0.03
cg01718742,4040.4040404040406,0.01
cg10263370,4081.6326530612246,0.02
cg16491617,10309.278350515464,0.03
cg11832210,104166.66666666666,0.04
cg07686635,105263.15789473684,0.05
cg26510017,20408.163265306124,0.02
cg15745900,20833.333333333332,0.04
cg15402399,105263.15789473684,0.05
cg05009934,20833.333333333332,0.04
cg10094616,21052.631578947367,0.05
cg06010588,4210.526315789473,0.05
cg23847712,4210.526315789473,0.05
cg17370163,4210.526315789473,0.05
cg13428480,20833.333333333332,0.04
cg22620221,4210.526315789473,0.05
cg16437728,10526.315789473683,0.05
cg25984671,10526.315789473683,0.05
cg07882671,10204.081632653062,0.02
cg04342955,21052.631578947367,0.05
cg14482313,4000.0,0.0
cg14537533,10204.081632653062,0.02
cg10755973,20202.0202020202,0.01
cg10527010,10526.315789473683,0.05
cg02119363,20000.0,0.0
cg07688490,4210.526315789473,0.05
cg02044219,20618.556701030928,0.03
cg12805420,20618.556701030928,0.03
cg22604123,20408.163265306124,0.02
cg13786089,10526.315789473683,0.05
cg26296488,4210.526315789473,0.05
cg20905516,103092.78350515464,0.03
cg05471845,10101.0101010101,0.01
cg10182317,4210.526315789473,0.05
cg08712932,10309.278350515464,0.03
cg22376706,10309.278350515464,0.03
cg16150752,10526.315789473683,0.05
cg24213507,21052.631578947367,0.05
cg06911020,10000.0,0.0
cg03817667,4210.526315789473,0.05
cg04474990,21052.631578947367,0.05
cg14558114,21052.631578947367,0.05
cg09022422,10309.278350515464,0.03
cg02501827,4210.526315789473,0.05
cg12075445,21052.631578947367,0.05
cg17991436,10526.315789473683,0.05
cg15180867,20618.556701030928,0.03
cg13845982,20408.163265306124,0.02
cg00804628,10526.315789473683,0.05
cg18349138,20833.333333333332,0.04
cg26682094,21052.631578947367,0.05
cg07721203,20833.333333333332,0.04
cg07599133,20833.333333333332,0.04
cg13171890,20202.0202020202,0.01
cg01715455,21052.631578947367,0.05
cg00865356,20618.556701030928,0.03
cg18920423,20202.0202020202,0.01
cg26084529,10526.315789473683,0.05
cg12518442,10526.315789473683,0.05
cg26844246,2000.0,0.0
cg05804220,10526.315789473683,0.05
cg12882697,21052.631578947367,0.05
cg22534145,2000.0,0.0
cg14817655,10526.315789473683,0.05
cg13405783,10204.081632653062,0.02
cg10784386,10526.315789473683,0.05
cg08593261,20000.0,0.0
cg14015441,2000.0,0.0
cg04847920,20618.556701030928,0.03
cg24374738,20618.556701030928,0.03
cg24089118,4000.0,0.0
cg22014661,10204.081632653062,0.02
cg16563230,10204.081632653062,0.02
cg07967679,4166.666666666667,0.04
cg04894619,20000.0,0.0
cg22600043,4081.6326530612246,0.02
cg01187505,10526.315789473683,0.05
cg25682299,20833.333333333332,0.04
cg17688525,4000.0,0.0
cg11723848,10101.0101010101,0.01
cg16400794,10526.315789473683,0.05
cg11036833,103092.78350515464,0.03
cg02423064,20833.333333333332,0.04
cg07811644,20618.556701030928,0.03
cg26541867,104166.66666666666,0.04
cg15746696,20618.556701030928,0.03
cg07516252,20618.556701030928,0.03
cg07055993,20408.163265306124,0.02
cg04745161,10416.666666666666,0.04
cg16027761,20202.0202020202,0.01
cg09408768,10309.278350515464,0.03
cg22717227,20408.163265306124,0.02
cg05890484,4000.0,0.0
cg06215457,20833.333333333332,0.04
cg19042459,21052.631578947367,0.05
cg27335600,21052.631578947367,0.05
cg20532370,20408.163265306124,0.02
cg15600488,10526.315789473683,0.05
cg03431846,20833.333333333332,0.04
cg04431946,21052.631578947367,0.05
cg03032214,20618.556701030928,0.03
cg08620606,20833.333333333332,0.04
cg10202457,21052.631578947367,0.05
cg02583525,10309.278350515464,0.03
cg15766075,21052.631578947367,0.05
cg08322034,20833.333333333332,0.04
cg10989897,20618.556701030928,0.03
cg01493016,10204.081632653062,0.02
cg15124757,10416.666666666666,0.04
cg09668400,20618.556701030928,0.03
cg21609339,10309.278350515464,0.03
cg01491219,21052.631578947367,0.05
cg11905007,10416.666666666666,0.04
cg08270223,10309.278350515464,0.03
cg10395685,20618.556701030928,0.03
cg16910830,10416.666666666666,0.04
cg09275869,20408.163265306124,0.02
cg12091542,21052.631578947367,0.05
cg23455602,20202.0202020202,0.01
cg21838979,4081.6326530612246,0.02
cg26554592,4000.0,0.0
cg14013195,10526.315789473683,0.05
cg11238048,4000.0,0.0
cg26836233,10309.278350515464,0.03
cg05639405,20833.333333333332,0.04
cg00457913,4210.526315789473,0.05
cg21444693,4000.0,0.0
cg11868900,20408.163265306124,0.02
cg07382554,10309.278350515464,0.03
cg18521914,20833.333333333332,0.04
cg25057743,20408.163265306124,0.02
cg24248713,20408.163265306124,0.02
cg13424673,20618.556701030928,0.03
cg10521638,21052.631578947367,0.05
cg04120546,10204.081632653062,0.02
cg08476595,10309.278350515464,0.03
cg11873482,20833.333333333332,0.04
cg21013756,20408.163265306124,0.02
cg19613722,20833.333333333332,0.04
cg25011337,20408.163265306124,0.02
cg22837767,21052.631578947367,0.05
cg27467929,20408.163265306124,0.02
cg25905812,21052.631578947367,0.05
cg16638540,4000.0,0.0
cg12122146,10526.315789473683,0.05
