feature_id,coefficient
cg19715410,1.0
cg18279094,1.0
cg11823511,1.0
cg24453699,1.0
cg03989260,1.0
cg14565725,1.0
cg00466334,1.0
cg24035245,1.0
cg05378938,1.0
cg09671258,1.0
cg09826050,1.0
cg07279070,1.0
cg18093372,1.0
cg18173235,1.0
cg07813142,1.0
cg24772753,1.0
cg17737681,1.0
cg17078253,1.0
cg05467160,1.0
cg04415176,1.0
cg01405040,1.0
cg02694427,1.0
cg03964958,1.0
cg09578028,1.0
cg04739647,1.0
cg05167251,1.0
cg22674699,1.0
cg22541735,1.0
cg19384289,1.0
cg14473102,1.0
cg15808943,1.0
cg24416513,1.0
cg11375458,1.0
cg16640855,1.0
cg08690859,1.0
cg22212691,1.0
cg24621972,1.0
cg23546474,1.0
cg18077971,1.0
cg15873301,1.0
cg07152216,1.0
cg21884231,1.0
cg05513806,1.0
cg07462756,1.0
cg15092343,1.0
cg10266211,1.0
cg09354241,1.0
cg10192893,1.0
cg05036656,1.0
cg24783211,1.0
cg24813038,1.0
cg13582816,1.0
cg24275315,1.0
cg17444738,1.0
cg02640260,1.0
cg00335712,1.0
cg09064304,1.0
cg08812889,1.0
cg03867465,1.0
cg00966099,1.0
cg26549701,1.0
cg01927745,1.0
cg09142313,1.0
cg15132565,1.0
cg00332937,1.0
cg18063312,1.0
cg20959460,1.0
cg26446499,1.0
cg08850461,1.0
cg20755170,1.0
cg26844246,1.0
cg15929797,1.0
cg12544191,1.0
cg19204131,1.0
cg03585912,1.0
cg21995304,1.0
cg24869601,1.0
cg14909730,1.0
cg17697633,1.0
cg22367191,1.0
cg05452406,1.0
cg10074727,1.0
cg12172441,1.0
cg01815538,1.0
cg08979319,1.0
cg07973435,1.0
cg08640634,1.0
cg12744820,1.0
cg12560987,1.0
cg12597389,1.0
cg06335867,1.0
cg27618240,1.0
cg23093589,1.0
cg01582980,1.0
cg24881205,1.0
cg27009703,1.0
cg15912800,1.0
cg12997720,1.0
cg24446586,1.0
cg27393010,1.0
cg12034383,1.0
cg22841810,1.0
cg22524061,1.0
cg07173635,1.0
cg14305313,1.0
cg03599078,1.0
cg00956199,1.0
cg04425920,1.0
cg04837832,1.0
cg23709528,1.0
cg14491820,1.0
cg11727383,1.0
cg09935282,1.0
cg26678605,1.0
cg05783915,1.0
cg17276590,1.0
cg05653707,1.0
cg12835048,1.0
cg01635405,1.0
cg14354327,1.0
cg03512426,1.0
cg07333715,1.0
cg13696942,1.0
cg13445796,1.0
cg02878244,1.0
cg13974632,1.0
cg05733135,1.0
cg22043168,1.0
cg10387551,1.0
cg17714025,1.0
cg15044957,1.0
cg08490115,1.0
cg15310492,1.0
cg05756220,1.0
cg22685409,1.0
cg03506489,1.0
cg07434271,1.0
cg07915921,1.0
cg16856286,1.0
cg26931862,1.0
cg03078269,1.0
cg26809635,1.0
cg03536474,1.0
cg21164131,1.0
cg21229570,1.0
cg14414464,1.0
cg26609631,1.0
cg23588462,1.0
cg18478319,1.0
cg20985450,1.0
cg18557131,1.0
cg00529958,1.0
cg24136205,1.0
cg18656829,1.0
cg24690071,1.0
cg00295794,1.0
cg22489321,1.0
cg26630231,1.0
cg15415452,1.0
cg21054521,1.0
cg13692446,1.0
cg25570913,1.0
cg17007640,1.0
cg05295557,1.0
cg04224064,1.0
cg13023870,1.0
cg13539545,1.0
cg23322933,1.0
cg04640920,1.0
cg12421755,1.0
cg07350501,1.0
cg10222027,1.0
cg14754787,1.0
cg12374721,1.0
cg20370678,1.0
cg21158087,1.0
cg26130488,1.0
cg13940693,1.0
cg10384245,1.0
cg25547580,1.0
cg10836101,1.0
cg09491991,1.0
cg15058464,1.0
cg21697851,1.0
