feature_id,coefficient
cg21870274,1.0
cg17810211,1.0
cg08263140,1.0
cg05663262,1.0
cg00055603,1.0
cg05042706,1.0
cg25469314,1.0
cg16515477,1.0
cg07910726,1.0
cg22037030,1.0
cg00954256,1.0
cg13047196,1.0
cg04910179,1.0
cg08123701,1.0
cg14777634,1.0
cg11795488,1.0
cg21679730,1.0
cg11228758,1.0
cg13784017,1.0
cg17987458,1.0
cg12302119,1.0
cg05928873,1.0
cg17041296,1.0
cg16926302,1.0
cg11338128,1.0
cg05948962,1.0
cg01952027,1.0
cg17175521,1.0
cg17011453,1.0
cg26032419,1.0
cg13471209,1.0
cg09892671,1.0
cg11341440,1.0
cg21523496,1.0
cg11345352,1.0
cg19277516,1.0
cg22608160,1.0
cg03900581,1.0
cg24601327,1.0
cg06099303,1.0
cg04095498,1.0
cg03513309,1.0
cg13563869,1.0
cg09222982,1.0
cg06626591,1.0
cg16175792,1.0
cg18354905,1.0
cg05198938,1.0
cg04436634,1.0
cg13507224,1.0
cg23955593,1.0
cg08864944,1.0
cg21908886,1.0
cg03421657,1.0
cg24554839,1.0
cg04436701,1.0
cg20323571,1.0
cg16144864,1.0
cg11201256,1.0
cg20463298,1.0
cg26276249,1.0
cg03521812,1.0
cg14662181,1.0
cg01392351,1.0
cg12687463,1.0
cg09551916,1.0
cg03261473,1.0
cg23962746,1.0
cg00146437,1.0
cg26269966,1.0
cg13916421,1.0
cg05126581,1.0
cg10227629,1.0
cg09412975,1.0
cg03988297,1.0
cg19865770,1.0
cg16651768,1.0
cg00063346,1.0
cg05656812,1.0
cg22431753,1.0
cg08658124,1.0
cg01432692,1.0
cg09132058,1.0
cg19596804,1.0
cg23918821,1.0
cg08868915,1.0
cg05353872,1.0
cg24980856,1.0
cg18254183,1.0
cg12656424,1.0
cg15002713,1.0
cg14444650,1.0
cg23949611,1.0
cg23180841,1.0
cg03065107,1.0
cg20485058,1.0
cg17960629,1.0
cg24194279,1.0
cg02630207,1.0
cg23279261,1.0
cg09044294,1.0
cg10756457,1.0
cg04930848,1.0
cg08393788,1.0
cg00678892,1.0
cg26106316,1.0
cg20921479,1.0
cg08043781,1.0
cg16475891,1.0
cg23668195,1.0
cg15359093,1.0
cg02624836,1.0
cg04527612,1.0
cg03455644,1.0
cg17961381,1.0
cg15359390,1.0
cg21349914,1.0
cg03661324,1.0
cg27004195,1.0
cg15704225,1.0
cg05973555,1.0
cg26085987,1.0
cg09694782,1.0
cg03350326,1.0
cg13168617,1.0
cg04275977,1.0
cg02346141,1.0
cg09860353,1.0
cg13028481,1.0
cg10962805,1.0
cg19226358,1.0
cg14947846,1.0
cg23925201,1.0
cg01821850,1.0
cg16356045,1.0
cg09446806,1.0
cg16703390,1.0
cg03252605,1.0
cg11038054,1.0
cg13430053,1.0
cg07609844,1.0
cg09367174,1.0
cg05036991,1.0
cg21038740,1.0
cg04098051,1.0
cg06264743,1.0
cg06544882,1.0
cg03520136,1.0
cg10560420,1.0
cg00422311,1.0
cg07262519,1.0
cg14548858,1.0
cg13292082,1.0
cg17325595,1.0
cg02084485,1.0
cg08977702,1.0
cg03483330,1.0
cg04686481,1.0
cg00829858,1.0
cg07129067,1.0
cg03412497,1.0
cg07835482,1.0
cg15735129,1.0
cg21471828,1.0
cg00470341,1.0
cg09416934,1.0
cg05918312,1.0
cg12006072,1.0
cg07002498,1.0
cg07791987,1.0
cg13698212,1.0
cg10081941,1.0
cg19475988,1.0
cg16947583,1.0
cg26387064,1.0
cg13206191,1.0
cg23886009,1.0
cg05879419,1.0
cg05392844,1.0
cg01165997,1.0
cg21666857,1.0
cg23270841,1.0
cg14096767,1.0
cg01245155,1.0
cg18011188,1.0
cg14992768,1.0
cg02273106,1.0
cg06740209,1.0
cg21165909,1.0
cg19578305,1.0
cg09488200,1.0
cg04530015,1.0
cg05785510,1.0
cg14538944,1.0
cg22039960,1.0
cg11245989,1.0
cg19702176,1.0
cg05318546,1.0
cg02550257,1.0
cg11348188,1.0
cg07328796,1.0
cg18594467,1.0
cg26681097,1.0
cg07162700,1.0
cg24259363,1.0
cg26679855,1.0
cg21174565,1.0
cg17034079,1.0
cg16291750,1.0
cg21646392,1.0
cg06620117,1.0
cg21910673,1.0
cg01190276,1.0
cg22842189,1.0
cg11177552,1.0
cg05556038,1.0
cg06705767,1.0
cg12416080,1.0
cg07784084,1.0
cg06601774,1.0
cg10719144,1.0
cg25375162,1.0
cg16139912,1.0
cg10336406,1.0
cg10955243,1.0
cg04405547,1.0
cg16171771,1.0
cg01792749,1.0
cg08033262,1.0
cg02243386,1.0
cg12924224,1.0
cg17473727,1.0
cg19010139,1.0
cg14404298,1.0
cg13061469,1.0
cg02906784,1.0
cg26068215,1.0
cg05898320,1.0
cg02717506,1.0
cg04246167,1.0
cg01576260,1.0
cg02700130,1.0
cg23078228,1.0
cg09603919,1.0
cg04522625,1.0
cg22931622,1.0
cg06329316,1.0
cg07165029,1.0
cg21550580,1.0
cg02761110,1.0
cg24396686,1.0
cg12979789,1.0
cg03489020,1.0
cg22875984,1.0
cg22224043,1.0
cg23012591,1.0
cg05461169,1.0
cg13590456,1.0
cg03507064,1.0
cg13876844,1.0
cg03660603,1.0
cg24935208,1.0
cg13543106,1.0
cg10729854,1.0
cg04891688,1.0
cg21175685,1.0
cg00967711,1.0
cg03517913,1.0
cg12837919,1.0
cg12699321,1.0
cg23033158,1.0
cg03290560,1.0
cg23045972,1.0
cg06139239,1.0
cg24984506,1.0
cg01185573,1.0
cg03891318,1.0
cg00908813,1.0
cg19955019,1.0
cg08544192,1.0
cg21457856,1.0
cg10784511,1.0
cg08153098,1.0
cg20083186,1.0
cg13546308,1.0
cg13233545,1.0
cg12432161,1.0
cg00757822,1.0
cg17067226,1.0
cg07342783,1.0
cg24874998,1.0
cg11375831,1.0
cg18142906,1.0
cg22668995,1.0
cg23976846,1.0
cg03804083,1.0
cg18060030,1.0
cg03516577,1.0
cg11291773,1.0
cg10512194,1.0
cg16760223,1.0
cg06728232,1.0
cg19510409,1.0
cg17482360,1.0
cg18787846,1.0
cg00075103,1.0
cg01348374,1.0
cg22471401,1.0
cg17078629,1.0
