feature_id,coefficient
cg23062112,1.0
cg07365816,1.0
cg08659394,1.0
cg14575559,1.0
cg18560328,1.0
cg21229268,1.0
cg23091824,1.0
cg03865257,1.0
cg11250773,1.0
cg12892303,1.0
cg12781700,1.0
cg13583934,1.0
cg12065366,1.0
cg25203031,1.0
cg17404915,1.0
cg22299454,1.0
cg05404701,1.0
cg24010885,1.0
cg17712694,1.0
cg20707222,1.0
cg11297107,1.0
cg12799781,1.0
cg01718742,1.0
cg10263370,1.0
cg15774465,1.0
cg16491617,1.0
cg11832210,1.0
cg07686635,1.0
cg26510017,1.0
cg15745900,1.0
cg15402399,1.0
cg06963053,1.0
cg05009934,1.0
cg10094616,1.0
cg06010588,1.0
cg23847712,1.0
cg17370163,1.0
cg13428480,1.0
cg22620221,1.0
cg22319311,1.0
cg16437728,1.0
cg25984671,1.0
cg07882671,1.0
cg04342955,1.0
cg15759616,1.0
cg07624639,1.0
cg14482313,1.0
cg14537533,1.0
cg10755973,1.0
cg10527010,1.0
cg02119363,1.0
cg26417642,1.0
cg10496082,1.0
cg07688490,1.0
cg09608387,1.0
cg02044219,1.0
cg24205332,1.0
cg24456663,1.0
cg12805420,1.0
cg22604123,1.0
cg14866200,1.0
cg13786089,1.0
cg03414321,1.0
cg26296488,1.0
cg20905516,1.0
cg04633600,1.0
cg05471845,1.0
cg10182317,1.0
cg08712932,1.0
cg22376706,1.0
cg11342468,1.0
cg16150752,1.0
cg24213507,1.0
cg25143824,1.0
cg11345323,1.0
cg06911020,1.0
cg03817667,1.0
cg04474990,1.0
cg14558114,1.0
cg22714094,1.0
cg09022422,1.0
cg02330121,1.0
cg02196294,1.0
cg02501827,1.0
cg12075445,1.0
cg14630839,1.0
cg24092470,1.0
cg03045425,1.0
cg17991436,1.0
cg17683390,1.0
cg15180867,1.0
cg18102575,1.0
cg21923442,1.0
cg13845982,1.0
cg01666600,1.0
cg00804628,1.0
cg18349138,1.0
cg26682094,1.0
cg05248618,1.0
cg07721203,1.0
cg07599133,1.0
cg13171890,1.0
cg20712058,1.0
cg02199397,1.0
cg26970841,1.0
cg05758434,1.0
cg01715455,1.0
cg00865356,1.0
cg26896155,1.0
cg05684406,1.0
cg18920423,1.0
cg09683824,1.0
cg26084529,1.0
cg12518442,1.0
cg26844246,1.0
cg05804220,1.0
cg08919494,1.0
cg01859739,1.0
cg12882697,1.0
cg22534145,1.0
cg14817655,1.0
cg13405783,1.0
cg10784386,1.0
cg07830652,1.0
cg22832061,1.0
cg08593261,1.0
cg14015441,1.0
cg04847920,1.0
cg21349637,1.0
cg24374738,1.0
cg24089118,1.0
cg22014661,1.0
cg10315231,1.0
cg16563230,1.0
cg07967679,1.0
cg27414233,1.0
cg04894619,1.0
cg22600043,1.0
cg15987088,1.0
cg01187505,1.0
cg16246961,1.0
cg14138050,1.0
cg06157334,1.0
cg12253830,1.0
cg20354430,1.0
cg09721739,1.0
cg25682299,1.0
cg24900370,1.0
cg17688525,1.0
cg11723848,1.0
cg16400794,1.0
cg18718634,1.0
cg11036833,1.0
cg01678172,1.0
cg06614469,1.0
cg16405637,1.0
cg11338121,1.0
cg13900348,1.0
cg01457143,1.0
cg02423064,1.0
cg09768093,1.0
cg03132166,1.0
cg07811644,1.0
cg20101352,1.0
cg26541867,1.0
cg15746696,1.0
cg07516252,1.0
cg07055993,1.0
cg04745161,1.0
cg16027761,1.0
cg06730723,1.0
cg06643298,1.0
cg23437459,1.0
cg09736162,1.0
cg14546394,1.0
cg26384430,1.0
cg23339342,1.0
cg11258943,1.0
cg05740609,1.0
cg16433156,1.0
cg07152098,1.0
cg09408768,1.0
cg12573071,1.0
cg01049530,1.0
cg22717227,1.0
cg05890484,1.0
cg10291141,1.0
cg26363196,1.0
cg04621020,1.0
cg24083469,1.0
cg07650252,1.0
cg06215457,1.0
cg19042459,1.0
cg27335600,1.0
cg20532370,1.0
cg25154916,1.0
cg10662093,1.0
cg19430430,1.0
cg25307074,1.0
cg01937650,1.0
cg25367352,1.0
cg21523251,1.0
cg15600488,1.0
cg07624600,1.0
cg02106223,1.0
cg03431846,1.0
cg05486213,1.0
cg04431946,1.0
cg24296626,1.0
cg03032214,1.0
cg08620606,1.0
cg23881204,1.0
cg10202457,1.0
cg02583525,1.0
cg04083234,1.0
cg21756465,1.0
cg24497836,1.0
cg03169767,1.0
cg15766075,1.0
cg08322034,1.0
cg24348705,1.0
cg19221545,1.0
cg04287116,1.0
cg00289429,1.0
cg22445256,1.0
cg10989897,1.0
cg01493016,1.0
cg20077155,1.0
cg15124757,1.0
cg15279950,1.0
cg10591652,1.0
cg09668400,1.0
cg07846081,1.0
cg21609339,1.0
cg22791632,1.0
cg01491219,1.0
cg22951509,1.0
cg09461185,1.0
cg13666729,1.0
cg11905007,1.0
cg11631518,1.0
cg08270223,1.0
cg04812484,1.0
cg10395685,1.0
cg16910830,1.0
cg09275869,1.0
cg25705900,1.0
cg23655107,1.0
cg12091542,1.0
cg05331082,1.0
cg26424556,1.0
cg20185609,1.0
cg23455602,1.0
cg21838979,1.0
cg02590345,1.0
cg14589466,1.0
cg26554592,1.0
cg14013195,1.0
cg27631427,1.0
cg01613638,1.0
cg11238048,1.0
cg16649052,1.0
cg19523082,1.0
cg22667178,1.0
cg07989568,1.0
cg26836233,1.0
cg05742308,1.0
cg02490516,1.0
cg05639405,1.0
cg00457913,1.0
cg21444693,1.0
cg18678353,1.0
cg02622052,1.0
cg00181968,1.0
cg21461649,1.0
cg02841941,1.0
cg11868900,1.0
cg03625261,1.0
cg20375342,1.0
cg07382554,1.0
cg18521914,1.0
cg25649680,1.0
cg25057743,1.0
cg16612742,1.0
cg24248713,1.0
cg13424673,1.0
cg10521638,1.0
cg24319381,1.0
cg00683895,1.0
cg04120546,1.0
cg03048535,1.0
cg24184687,1.0
cg21586412,1.0
cg27202210,1.0
cg23262134,1.0
cg20524425,1.0
cg08476595,1.0
cg11873482,1.0
cg13428152,1.0
cg21013756,1.0
cg01181350,1.0
cg15646817,1.0
cg19613722,1.0
cg20211713,1.0
cg25011337,1.0
cg22837767,1.0
cg13500074,1.0
cg27467929,1.0
cg19517653,1.0
cg25905812,1.0
cg19914607,1.0
cg16638540,1.0
cg12122146,1.0
cg08578136,1.0
cg08616702,1.0
cg20031656,1.0
cg27117639,1.0
cg01408654,1.0
cg19484319,1.0
cg09850980,1.0
cg04549460,1.0
cg02250263,1.0
cg10824063,1.0
cg12843518,1.0
cg09551472,1.0
cg03882242,1.0
cg13315970,1.0
cg24892510,1.0
cg17661881,1.0
cg11315153,1.0
cg26745540,1.0
cg23793121,1.0
cg04402803,1.0
cg10561835,1.0
cg20552487,1.0
cg08047907,1.0
cg09833789,1.0
cg17469019,1.0
cg03565659,1.0
cg05498007,1.0
cg00083059,1.0
cg05975219,1.0
cg16282993,1.0
cg08827307,1.0
cg10971510,1.0
