feature_id,coefficient
cg01689796,1.0
cg17753162,1.0
cg26150621,1.0
cg11684734,1.0
cg05812697,1.0
cg24052817,1.0
cg01827202,1.0
cg12277524,1.0
cg06160606,1.0
cg12758960,1.0
cg12270633,1.0
cg25939869,1.0
cg16823292,1.0
cg17041296,1.0
cg17325792,1.0
cg05347985,1.0
cg04789392,1.0
cg16320208,1.0
cg01779525,1.0
cg08009265,1.0
cg08244156,1.0
cg14711592,1.0
cg16577588,1.0
cg03114253,1.0
cg02245566,1.0
cg22601108,1.0
cg01068621,1.0
cg21291134,1.0
cg20491963,1.0
cg07725889,1.0
cg11388802,1.0
cg24863175,1.0
cg23610736,1.0
cg11813810,1.0
cg07573078,1.0
cg10113157,1.0
cg15458801,1.0
cg24645611,1.0
cg09069203,1.0
cg07285760,1.0
cg07928232,1.0
cg27235789,1.0
cg08935841,1.0
cg07782924,1.0
cg26403777,1.0
cg16258888,1.0
cg14022840,1.0
cg15604398,1.0
cg17965737,1.0
cg05481163,1.0
cg11136592,1.0
cg10519925,1.0
cg02980650,1.0
cg26201727,1.0
cg13959943,1.0
cg18308359,1.0
cg23284074,1.0
cg16342842,1.0
cg08770757,1.0
cg03287579,1.0
cg20095628,1.0
cg27034294,1.0
cg14416456,1.0
cg26944562,1.0
cg23029228,1.0
cg03799378,1.0
cg09977794,1.0
cg10195050,1.0
cg13313508,1.0
cg16126900,1.0
cg14915104,1.0
cg07081753,1.0
cg05907577,1.0
cg04169186,1.0
cg19746502,1.0
cg16197188,1.0
cg07048828,1.0
cg19832529,1.0
cg18642179,1.0
cg00458351,1.0
cg26490626,1.0
cg16023896,1.0
cg09315775,1.0
cg20490751,1.0
cg22812280,1.0
cg14544583,1.0
cg14269191,1.0
cg07568203,1.0
cg26273072,1.0
cg19232395,1.0
cg16570256,1.0
cg06979684,1.0
cg15344659,1.0
cg00562107,1.0
cg18722615,1.0
cg18737789,1.0
cg04883553,1.0
cg22836809,1.0
cg02946903,1.0
cg16943505,1.0
cg01884522,1.0
cg02235529,1.0
cg23110376,1.0
cg18431655,1.0
cg19247310,1.0
cg05816993,1.0
cg02587435,1.0
cg15599875,1.0
cg21961694,1.0
cg16800162,1.0
cg05283685,1.0
cg00489066,1.0
cg23265210,1.0
cg20945509,1.0
cg21832801,1.0
cg05878332,1.0
cg13072246,1.0
cg06995808,1.0
cg03225882,1.0
cg17726105,1.0
cg15826891,1.0
cg17208425,1.0
cg25527732,1.0
cg22790986,1.0
cg22947965,1.0
cg16748816,1.0
cg13012115,1.0
cg27101914,1.0
cg02790372,1.0
cg06962970,1.0
cg17090716,1.0
cg25724515,1.0
cg04765303,1.0
cg09531376,1.0
cg04691233,1.0
cg21006600,1.0
cg03923850,1.0
cg18607010,1.0
cg08272331,1.0
cg10465202,1.0
cg05612506,1.0
cg13600716,1.0
cg22969763,1.0
cg21372595,1.0
cg17460855,1.0
cg12127290,1.0
cg26362257,1.0
cg20025970,1.0
cg03770575,1.0
cg17367439,1.0
cg15368222,1.0
cg01777672,1.0
cg12133004,1.0
cg20502257,1.0
cg23335356,1.0
cg04525892,1.0
cg27151135,1.0
cg11781518,1.0
cg18719327,1.0
cg18798445,1.0
cg18447785,1.0
cg20899615,1.0
cg10810769,1.0
cg19872222,1.0
cg11650135,1.0
cg12504696,1.0
cg26247186,1.0
cg05498948,1.0
cg15857627,1.0
cg22432612,1.0
cg21029155,1.0
cg17508167,1.0
cg14128419,1.0
cg06852037,1.0
cg05439724,1.0
cg24639246,1.0
cg10633648,1.0
cg04476865,1.0
cg24100475,1.0
cg14468932,1.0
cg06710083,1.0
cg13714636,1.0
cg19213045,1.0
cg24403711,1.0
cg02696428,1.0
cg21816456,1.0
cg23205092,1.0
cg08506585,1.0
cg07994859,1.0
cg21797500,1.0
cg20248654,1.0
cg13816734,1.0
cg07514107,1.0
cg16437048,1.0
cg15187175,1.0
cg05188268,1.0
cg09328960,1.0
cg11779118,1.0
cg14420012,1.0
cg05402364,1.0
cg11848324,1.0
cg20077718,1.0
cg24067075,1.0
cg04338834,1.0
cg18091245,1.0
cg15840418,1.0
cg15911612,1.0
cg04389921,1.0
cg21917261,1.0
cg15862950,1.0
cg19920029,1.0
cg20038225,1.0
cg05439503,1.0
cg13036798,1.0
cg11204152,1.0
cg18917736,1.0
cg13033972,1.0
cg22834409,1.0
cg07460524,1.0
cg02344891,1.0
cg09293488,1.0
cg25045972,1.0
cg13639866,1.0
cg16221927,1.0
cg00975791,1.0
cg24947073,1.0
cg04585937,1.0
cg13098800,1.0
cg09550097,1.0
cg24738356,1.0
cg05951178,1.0
cg01871408,1.0
cg03997517,1.0
cg09459714,1.0
cg13337716,1.0
cg20789760,1.0
cg01529092,1.0
cg10627759,1.0
cg16469894,1.0
cg03545575,1.0
cg16091630,1.0
cg07632448,1.0
cg19985018,1.0
cg27072665,1.0
cg27201332,1.0
cg19887404,1.0
cg15826426,1.0
cg07160602,1.0
cg26139402,1.0
cg20861237,1.0
cg02008627,1.0
cg02217063,1.0
cg09696486,1.0
cg04736751,1.0
cg02646706,1.0
cg02459866,1.0
cg02392915,1.0
cg04011357,1.0
cg02968537,1.0
cg10154971,1.0
cg02782052,1.0
cg10447095,1.0
cg03328485,1.0
cg03388493,1.0
cg09847250,1.0
cg01630588,1.0
cg26519930,1.0
cg25050975,1.0
cg06233815,1.0
cg14833286,1.0
cg27241873,1.0
cg12502564,1.0
cg24185926,1.0
cg00167783,1.0
cg14794480,1.0
cg25255893,1.0
cg24615689,1.0
cg01520122,1.0
cg11230471,1.0
cg10664339,1.0
cg03406131,1.0
cg08345142,1.0
cg24414383,1.0
cg07337480,1.0
cg18848394,1.0
cg09486367,1.0
cg02799934,1.0
cg18863203,1.0
cg21664522,1.0
cg02815025,1.0
cg23818246,1.0
cg27378216,1.0
cg25162588,1.0
cg15309045,1.0
cg00005215,1.0
cg14426174,1.0
cg26646527,1.0
cg10198813,1.0
cg23207876,1.0
cg05663891,1.0
cg16210461,1.0
cg17948136,1.0
cg03267167,1.0
cg03530260,1.0
cg11378502,1.0
cg24923853,1.0
cg01936122,1.0
cg15050103,1.0
cg22037408,1.0
cg15394911,1.0
cg15232593,1.0
cg22607995,1.0
cg07599819,1.0
cg22338152,1.0
cg06557683,1.0
cg16063656,1.0
cg09337427,1.0
cg04065297,1.0
cg00339012,1.0
cg25617157,1.0
cg23168603,1.0
cg07182705,1.0
cg25806743,1.0
cg26318682,1.0
cg19702762,1.0
cg02626897,1.0
cg08254889,1.0
cg06335869,1.0
cg07409153,1.0
cg26875989,1.0
cg08327518,1.0
cg14151288,1.0
cg22050792,1.0
cg02071003,1.0
cg16516973,1.0
cg25012143,1.0
cg02595851,1.0
cg03253309,1.0
cg18813234,1.0
cg03818055,1.0
cg17109283,1.0
cg05847835,1.0
cg11974162,1.0
cg07931608,1.0
cg21315173,1.0
cg03180819,1.0
cg25995212,1.0
cg26372498,1.0
cg00789792,1.0
cg13490979,1.0
cg03444340,1.0
cg15057373,1.0
cg22011587,1.0
cg25202000,1.0
cg11417222,1.0
cg20332865,1.0
cg09961177,1.0
cg02031634,1.0
cg00002473,1.0
cg10432859,1.0
cg18552983,1.0
cg06003429,1.0
cg00472837,1.0
cg05203206,1.0
cg24716640,1.0
cg11497924,1.0
cg25697357,1.0
cg04476531,1.0
cg17106526,1.0
cg22981961,1.0
cg24569412,1.0
cg02089745,1.0
cg18377512,1.0
cg07345521,1.0
cg13120955,1.0
cg25864727,1.0
cg24422202,1.0
cg07392829,1.0
cg08097817,1.0
cg00504535,1.0
cg00322212,1.0
cg10673707,1.0
cg11674381,1.0
cg16439360,1.0
cg05939647,1.0
cg14226671,1.0
cg01719904,1.0
cg23343273,1.0
cg00115864,1.0
cg12970662,1.0
cg22615917,1.0
cg21512502,1.0
cg00168439,1.0
cg16526133,1.0
cg19846707,1.0
cg18012213,1.0
cg08855630,1.0
cg17482117,1.0
cg04546691,1.0
cg07457820,1.0
cg01375651,1.0
cg25424293,1.0
cg27011350,1.0
cg03660603,1.0
cg09831620,1.0
cg04362407,1.0
cg02564302,1.0
cg14571619,1.0
cg00423655,1.0
cg19466967,1.0
cg16451455,1.0
cg13592373,1.0
cg24181062,1.0
cg10462597,1.0
cg18544974,1.0
cg05092583,1.0
cg23232849,1.0
cg07129879,1.0
cg13233545,1.0
cg14218037,1.0
cg21150807,1.0
cg17374958,1.0
cg27090727,1.0
