feature_id,coefficient
cg00043095,1.0
cg00060320,1.0
cg00181968,1.0
cg00329270,1.0
cg00347369,1.0
cg00397986,1.0
cg00466268,1.0
cg00665492,1.0
cg00884606,1.0
cg00916884,1.0
cg00930628,1.0
cg00962913,1.0
cg01050423,1.0
cg01185626,1.0
cg01435574,1.0
cg01537995,1.0
cg01587896,1.0
cg01670677,1.0
cg01699217,1.0
cg01783070,1.0
cg01830294,1.0
cg02004418,1.0
cg02056682,1.0
cg02071825,1.0
cg02150988,1.0
cg02160530,1.0
cg02186542,1.0
cg02266732,1.0
cg02315940,1.0
cg02554246,1.0
cg02583151,1.0
cg02590345,1.0
cg02631468,1.0
cg02660347,1.0
cg02726121,1.0
cg02796545,1.0
cg02964724,1.0
cg03045425,1.0
cg03045635,1.0
cg03111498,1.0
cg03140968,1.0
cg03181582,1.0
cg03191889,1.0
cg03310469,1.0
cg03315215,1.0
cg03388293,1.0
cg03430846,1.0
cg03450948,1.0
cg03566719,1.0
cg03603951,1.0
cg03767531,1.0
cg03790908,1.0
cg03845289,1.0
cg03874199,1.0
cg04188273,1.0
cg04210284,1.0
cg04234680,1.0
cg04237663,1.0
cg04408488,1.0
cg04431946,1.0
cg04543008,1.0
cg04549460,1.0
cg04597433,1.0
cg04633225,1.0
cg04672706,1.0
cg04690395,1.0
cg04796189,1.0
cg04808029,1.0
cg04902729,1.0
cg04975505,1.0
cg04996219,1.0
cg05030481,1.0
cg05063138,1.0
cg05091519,1.0
cg05093169,1.0
cg05099387,1.0
cg05158197,1.0
cg05182249,1.0
cg05344430,1.0
cg05362516,1.0
cg05446424,1.0
cg05666607,1.0
cg05694245,1.0
cg05791136,1.0
cg05870072,1.0
cg05886671,1.0
cg05894910,1.0
cg06191898,1.0
cg06263193,1.0
cg06424860,1.0
cg06441568,1.0
cg06469345,1.0
cg06614469,1.0
cg06672560,1.0
cg06804921,1.0
cg06987468,1.0
cg07033372,1.0
cg07095995,1.0
cg07195011,1.0
cg07234102,1.0
cg07311313,1.0
cg07315745,1.0
cg07357987,1.0
cg07557260,1.0
cg07621749,1.0
cg07724977,1.0
cg07882671,1.0
cg07897248,1.0
cg07950000,1.0
cg08073312,1.0
cg08074621,1.0
cg08074851,1.0
cg08132837,1.0
cg08323075,1.0
cg08327269,1.0
cg08330778,1.0
cg08413157,1.0
cg08448701,1.0
cg08478074,1.0
cg08478447,1.0
cg08530317,1.0
cg08592707,1.0
cg08593261,1.0
cg08681432,1.0
cg08696727,1.0
cg08751472,1.0
cg08834401,1.0
cg08870743,1.0
cg08911275,1.0
cg08961408,1.0
cg09010671,1.0
cg09137696,1.0
cg09578028,1.0
cg09683824,1.0
cg09868336,1.0
cg09968620,1.0
cg10021043,1.0
cg10071824,1.0
cg10094616,1.0
cg10281002,1.0
cg10343742,1.0
cg10351287,1.0
cg10406295,1.0
cg10460820,1.0
cg10530281,1.0
cg10615414,1.0
cg10755973,1.0
cg10810799,1.0
cg10824063,1.0
cg11021744,1.0
cg11064073,1.0
cg11082362,1.0
cg11248413,1.0
cg11302943,1.0
cg11334771,1.0
cg11354629,1.0
cg11419506,1.0
cg11722699,1.0
cg11723848,1.0
cg11825621,1.0
